CouchBase,Memcached,Mongo,Orient,Redis,Riak
560,25020,860,10240,1130,2710,
870,24840,840,10570,1060,2740,
540,25140,1150,4630,1040,2590,
150,24730,220,4210,1060,2610,
200,25330,1060,5270,1020,2830,
740,25060,890,6110,1060,2810,
880,24710,770,4240,920,2750,
750,24950,590,4970,940,2490,
570,25620,1450,3410,950,2710,
520,25900,810,2710,1020,2680,
650,25050,460,10830,1060,2980,
630,26540,630,8380,1040,3100,
530,24930,790,6990,1060,2930,
420,25040,1610,3980,1010,2720,
530,24880,500,11170,1030,2620,
590,24940,390,6970,1040,2790,
800,25120,600,7970,1080,2740,
380,24840,1130,10310,1030,3370,
1520,24580,610,11510,1110,2640,
670,25170,990,13580,960,4780,
670,25110,310,11430,950,4140,
550,24870,1120,3640,940,3180,
500,24560,2390,4240,920,2900,
370,24800,970,4380,1040,2560,
280,24480,610,4670,1010,2700,
570,25160,870,7390,1030,2830,
510,27080,2880,12180,950,2880,
390,25800,1610,8030,920,4450,
660,24930,1480,10200,1120,10720,
930,24680,330,3020,950,5900,
640,24750,1400,3550,950,3170,
500,24780,260,4930,1020,2870,
430,25150,2050,5020,1040,2970,
300,26010,1350,10360,1040,2980,
390,25310,450,10340,1010,2810,
730,24800,1140,6420,1170,3070,
550,24710,1090,11080,920,3160,
790,25010,1560,11050,1050,2800,
610,25160,970,10400,1040,2700,
350,25000,2120,8020,1170,2670,
280,25380,880,6360,1070,2600,
490,24930,2620,5280,920,2850,
660,24840,2750,5370,1020,3210,
650,24740,1190,20650,900,2820,
810,25060,470,14850,1010,2530,
850,24740,1480,7180,1030,2630,
800,24890,1350,3220,1030,2790,
690,24580,1040,3940,1050,2890,
540,24910,1490,3880,1140,3070,
770,24810,690,5440,1020,3040,
130,27050,920,8610,1120,3010,
690,24700,1100,5240,910,2940,
690,24710,980,4950,1080,2990,
740,24730,660,4530,1050,3070,
590,24770,380,3730,940,2640,
730,25290,1030,9980,840,3050,
740,24730,770,3980,850,2500,
730,25080,1340,4920,920,2680,
710,25660,810,5520,930,2740,
780,24740,1190,3320,890,2740,
630,24920,190,3920,910,2930,
860,24680,1330,4630,920,2760,
540,24750,920,4020,960,2680,
420,25010,740,3520,960,2810,
470,25100,970,4550,1050,2460,
340,25050,770,11070,1020,3400,
520,24880,1920,9740,1100,2760,
330,25440,890,3970,1040,2840,
790,24800,1240,4620,1020,2470,
360,24690,1020,4230,1030,2610,
490,24440,660,3940,1110,2990,
1090,24670,620,6880,1040,2660,
860,25450,1010,7450,1030,2870,
920,26630,590,3790,1040,2960,
510,25670,640,3290,1020,2750,
600,25080,2130,4260,1040,2750,
190,25120,640,3620,1080,2720,
70,25230,1350,7250,1030,3260,
410,24780,1320,5860,880,2800,
380,25380,560,11240,960,2870,
360,24880,880,7170,940,2790,
550,25180,930,11390,930,2880,
680,24900,1860,9640,930,2840,
510,25070,2130,9920,990,2800,
570,25020,410,12650,1050,2910,
450,24940,550,10180,1040,3040,
190,24880,2830,3230,1030,2890,
470,24760,130,5380,1050,2600,
870,24820,970,11390,920,2740,
860,26640,550,11110,960,2790,
930,24920,160,10990,1130,2850,
690,24970,540,5650,1000,3180,
620,24970,1030,3520,1060,3010,
670,24820,1630,11010,1030,2700,
270,24910,940,4740,1060,2780,
840,24680,1410,4400,1070,2640,
680,25050,690,8320,1030,2860,
540,24650,440,4610,900,3370,
490,25640,310,3400,950,3580,
770,24560,1090,5080,870,3470,
720,24660,1150,3850,1030,2840,
480,24500,2550,13750,1070,2640,
50,25420,2900,30550,1030,2900,
500,24870,3650,12720,1040,2770,
820,24700,3280,22690,1010,2870,
690,24520,2170,12340,1040,2720,
370,24660,230,9300,1270,2650,
290,25040,1940,6540,1080,2810,
