CouchBase;Memcached;Mongo;Orient;Redis;Riak;Funkcja;CouchBase;Memcached;Mongo;Orient;Redis;Riak
610;23000;460;6350;1010;2560;;;;;;;
950;23040;600;11930;1020;2670;;;;;;;
600;23530;40;11120;1000;2820;;;;;;;
520;23220;270;6830;1040;3010;;;;;;;
590;23020;80;7380;980;2820;;;;;;;
830;23110;220;7140;1030;2430;;;;;;;
290;23450;1440;6720;1040;2690;;;;;;;
600;23090;130;8310;1010;2860;;;;;;;
890;23170;500;8110;1000;2690;;;;;;;
550;23220;990;6240;1050;2720;;;;;;;
200;23150;370;5690;1020;2950;;;;;;;
660;22920;400;10740;1000;2810;;;;;;;
500;23350;430;12610;1040;3100;;;;;;;
480;23210;520;11310;1000;2690;;;;;;;
360;23390;750;8120;1020;2700;;;;;;;
730;23190;410;13040;1020;2530;;;;;;;
480;23840;290;8580;1030;2770;;;;;;;
600;23330;60;8460;950;2650;;;;;;;
620;23350;30;8650;1020;2670;;;;;;;
790;23200;80;10020;1040;2510;;;;;;;
570;22920;120;8030;1030;2560;;;;;;;
680;23220;80;8540;1020;2810;;;;;;;
620;23160;1930;6910;1000;2840;;;;;;;
590;23360;1340;8570;1030;2840;;;;;;;
700;23090;3650;13120;950;2640;;;;;;;
310;23360;1020;9420;970;2760;;;;;;;
290;23310;510;5260;1010;2600;;;;;;;
660;23440;580;13120;1000;2790;;;;;;;
830;23300;450;6460;1020;2870;;;;;;;
290;23140;500;9480;970;3100;;;;;;;
610;25030;1450;11670;980;2890;;;;;;;
60;23440;1400;8480;940;3570;;;;;;;
1210;23220;1590;7820;960;2720;;;;;;;
1210;23220;1460;14040;960;2690;;;;;;;
1510;23460;310;6940;960;3230;;;;;;;
1140;23080;570;7200;880;2690;;;;;;;
340;23310;210;6180;970;2700;;;;;;;
360;23690;120;17060;1130;2950;;;;;;;
380;23070;620;5830;1030;2480;;;;;;;
540;23590;190;11450;1050;3240;;;;;;;
510;24190;230;8560;1010;3050;;;;;;;
1350;23690;40;8680;1050;2770;;;;;;;
1160;23210;60;5230;1010;2500;;;;;;;
380;23400;80;7820;1010;2330;;;;;;;
1030;23180;60;7640;1040;3060;;;;;;;
1930;23830;80;7900;1000;2920;;;;;;;
950;23150;410;7340;1060;2830;;;;;;;
360;23170;20;8530;1020;3120;;;;;;;
1180;23270;50;13000;1010;7010;;;;;;;
1620;23550;280;12800;1000;2600;;;;;;;
1360;23160;310;7570;1030;3330;;;;;;;
790;23720;440;7450;1030;3080;;;;;;;
640;23270;680;10420;1010;2740;;;;;;;
730;23220;460;7700;1020;2690;;;;;;;
400;23150;250;9410;1060;2810;;;;;;;
480;23200;690;12170;1030;2730;;;;;;;
300;23400;950;17120;1020;2910;;;;;;;
470;23210;630;17560;1010;2920;;;;;;;
590;23180;630;7430;1030;3010;;;;;;;
630;23220;390;7400;1050;2920;;;;;;;
350;23360;80;9350;1010;2740;;;;;;;
680;23360;80;12580;1020;2590;;;;;;;
860;23620;110;8320;1000;2780;;;;;;;
970;23600;280;12340;1010;2820;;;;;;;
430;23420;90;11810;1040;2780;;;;;;;
110;23370;180;6620;1010;2860;;;;;;;
490;23340;700;8960;1040;2690;;;;;;;
800;23410;450;12300;1010;3010;;;;;;;
410;23060;950;13390;1000;2660;;;;;;;
1280;23440;120;6450;1000;2640;;;;;;;
920;23200;60;8180;1020;2950;;;;;;;
330;23320;320;9070;1190;2710;;;;;;;
820;24820;190;6700;1020;4380;;;;;;;
730;23290;20;8150;1020;2500;;;;;;;
870;23220;80;6260;950;2980;;;;;;;
510;23290;450;5610;1010;2960;;;;;;;
390;23570;10;6110;980;2710;;;;;;;
570;23260;180;10310;1000;2830;;;;;;;
560;23260;220;7220;1020;2810;;;;;;;
840;23360;460;11180;1010;2710;;;;;;;
1000;23210;330;7780;1000;2530;;;;;;;
760;23610;240;8020;1050;2670;;;;;;;
570;23280;60;6470;1020;2850;;;;;;;
560;23220;130;13670;1010;3050;;;;;;;
520;23660;0;11460;1020;2500;;;;;;;
730;23400;400;9480;990;2900;;;;;;;
590;23510;1030;12340;950;2260;;;;;;;
420;23710;290;14160;920;2770;;;;;;;
630;23270;60;13520;930;2870;;;;;;;
530;24510;570;11690;960;2590;;;;;;;
680;24250;10;12230;1030;2860;;;;;;;
380;22990;430;14300;1010;2790;;;;;;;
890;23340;400;12480;1020;2950;;;;;;;
520;23260;430;12130;1030;2580;;;;;;;
620;23290;290;10970;1020;2860;;;;;;;
710;23150;350;7770;1060;2850;;;;;;;
620;23250;360;6730;1000;2580;;;;;;;
610;23390;610;9580;1010;2530;;;;;;;
900;23550;310;5530;1130;2660;;;;;;;
530;23280;370;9990;1000;2630;;;;;;;
390;22970;320;10950;1010;2550;;;;;;;
400;22960;470;12020;1000;3570;;;;;;;
120;23280;400;7260;990;3020;;;;;;;
140;23120;290;6260;980;2700;;;;;;;
750;23490;670;12270;1000;2630;;;;;;;
500;23120;850;10170;1010;2730;;;;;;;
460;23270;20;5960;1030;2510;;;;;;;
630;23440;60;11330;1010;2850;;;;;;;
680;23310;40;10060;1040;2930;;;;;;;
520;23520;720;7380;1050;2630;;;;;;;
640;23540;110;27810;1010;2870;;;;;;;
550;23730;660;7180;1020;2580;;;;;;;
420;23420;180;18480;1030;2940;;;;;;;
540;23400;330;25410;1020;2490;;;;;;;
240;24920;50;15800;1020;2840;;;;;;;
530;23670;290;7610;1010;2680;;;;;;;
390;22920;30;7400;1020;2600;;;;;;;
260;23110;170;12830;1010;2800;;;;;;;
800;24680;400;8970;1010;2680;;;;;;;
310;23820;40;7500;1000;2820;;;;;;;
670;23530;70;5820;1000;3010;;;;;;;
520;23740;50;5880;1010;2630;;;;;;;
340;25700;0;7820;1020;2830;;;;;;;
710;27160;310;8680;1080;2570;;;;;;;
700;23600;140;13120;1060;2640;;;;;;;
870;23940;40;11920;1010;2950;;;;;;;
760;23810;160;11490;1040;2670;;;;;;;
750;23860;100;15710;1030;2450;;;;;;;
620;27770;50;6970;1030;2270;;;;;;;
580;25450;50;7770;1080;2600;;;;;;;
350;23860;70;11450;1020;2480;;;;;;;
620;23510;20;6300;1000;2650;;;;;;;
550;24270;170;9040;1030;2770;;;;;;;
620;23590;100;9780;1010;2770;;;;;;;
690;23400;100;6170;1030;2620;;;;;;;
450;23830;110;6530;1020;2710;;;;;;;
1080;23850;100;6240;1190;2610;;;;;;;
710;24010;220;6030;1000;2640;;;;;;;
730;25410;350;10160;1000;3060;;;;;;;
610;25020;330;6770;1130;3070;;;;;;;
410;24350;360;6380;1010;2750;;;;;;;
370;23800;340;10200;1000;2640;;;;;;;
510;23720;710;11470;1040;2590;;;;;;;
