CouchBase,Memcached,Mongo,Orient,Redis,Riak
450,10,2060,1840,90,26920,
560,40,970,1040,50,25500,
560,10,630,1860,70,33360,
240,10,510,1780,20,25470,
470,0,1780,1310,30,27640,
340,30,1490,2150,60,26040,
500,20,2160,1230,60,26770,
410,10,1400,1110,60,25030,
360,10,1210,2140,10,25580,
480,0,1140,1360,20,28300,
530,10,1820,1400,80,26660,
460,0,670,1080,20,32150,
430,30,900,1700,40,26620,
520,0,1170,1260,20,26070,
600,0,1640,1790,80,23540,
400,50,1330,1380,0,24830,
460,20,1560,2140,50,29690,
430,30,1680,880,60,38900,
400,0,550,1420,80,31640,
540,10,1800,1150,20,29470,
380,60,1650,1320,10,24710,
620,30,830,1220,10,41340,
570,10,680,1290,10,45510,
510,40,1360,3440,30,32300,
660,30,1230,1570,10,28370,
280,10,600,1080,60,30110,
680,20,690,2590,10,25570,
530,10,1030,1420,50,24780,
670,20,1470,1400,20,31610,
620,0,1670,2190,140,34490,
680,0,710,2480,150,31940,
470,0,660,1430,10,34420,
460,0,790,1670,20,28000,
420,0,1170,2030,110,30830,
570,20,1820,1490,30,33070,
440,70,1330,1680,30,33460,
480,0,820,1100,50,26280,
370,10,770,1340,50,25900,
460,10,790,1520,70,26370,
530,10,1560,2930,50,33840,
460,10,510,2350,90,23290,
450,10,1200,1380,50,28600,
400,10,940,1690,10,27270,
550,10,850,2510,40,27080,
620,10,1300,1310,130,27160,
600,20,1080,1430,10,25260,
360,10,1450,1210,20,30450,
460,0,1540,1930,90,26970,
720,10,1190,1180,50,30110,
410,0,2060,1720,50,29160,
400,10,1920,1330,40,36400,
440,0,690,1930,40,31600,
500,10,950,1470,40,36070,
430,10,1910,1350,50,38020,
430,20,1140,1830,90,50830,
510,60,760,1330,80,44760,
500,0,1690,1020,40,39440,
400,0,1630,1380,70,32840,
580,10,920,1730,80,28100,
390,0,1780,1020,90,27310,
430,10,1330,1480,40,28370,
560,0,820,1040,50,27780,
420,10,1590,1240,80,28290,
620,50,1290,1340,50,30510,
490,0,980,1170,30,29840,
430,0,460,1370,110,34080,
540,30,1000,1660,220,33580,
