CouchBase;Memcached;Mongo;Orient;Redis;Riak;;CouchBase;Memcached;Mongo;Orient;Redis;Riak
500;0;2050;1330;40;26030;;;;;;;
300;0;1440;1980;40;28700;;;;;;;
570;20;2300;1530;30;27360;;;;;;;
620;60;1380;1210;50;28080;;;;;;;
470;70;2190;1340;50;26200;;;;;;;
530;50;1880;1640;240;27200;;;;;;;
360;40;2540;1590;50;28120;;;;;;;
420;40;1130;1270;70;25510;;;;;;;
400;20;1410;1870;60;26780;;;;;;;
430;10;1110;2580;120;27550;;;;;;;
340;40;1430;1270;80;26790;;;;;;;
430;90;2040;1040;90;27780;;;;;;;
540;60;1330;1150;50;27880;;;;;;;
430;10;1820;1360;70;61970;;;;;;;
290;20;1710;2370;110;28090;;;;;;;
500;30;1720;1250;140;38090;;;;;;;
410;10;1720;1310;40;38230;;;;;;;
490;20;1270;1340;50;31610;;;;;;;
500;0;3170;1260;210;28170;;;;;;;
500;10;1670;1800;60;29680;;;;;;;
330;10;1590;1360;30;30430;;;;;;;
530;20;1760;1840;80;28910;;;;;;;
510;10;2050;1360;30;28340;;;;;;;
370;50;1530;1140;110;27340;;;;;;;
330;20;7640;1280;30;28620;;;;;;;
360;20;1010;2010;70;27750;;;;;;;
330;10;1920;1170;110;28060;;;;;;;
440;40;4580;1440;70;28370;;;;;;;
620;10;2430;1540;70;29950;;;;;;;
460;20;2340;1370;40;28320;;;;;;;
420;0;3530;1630;70;29250;;;;;;;
490;30;1840;1230;0;30810;;;;;;;
360;30;2160;1440;60;29150;;;;;;;
610;0;2270;1360;50;28160;;;;;;;
660;20;5810;1490;30;30230;;;;;;;
570;20;2900;1520;40;28180;;;;;;;
610;20;2980;1270;30;28310;;;;;;;
610;0;2480;1990;50;33760;;;;;;;
400;20;1630;1930;30;29410;;;;;;;
510;10;1520;1470;50;25300;;;;;;;
500;20;2240;1830;60;28350;;;;;;;
450;10;600;1380;30;28180;;;;;;;
580;50;1310;1430;40;24810;;;;;;;
790;40;2500;1080;70;28240;;;;;;;
860;10;2190;1310;30;25570;;;;;;;
910;10;3090;1270;20;27820;;;;;;;
900;20;2380;1300;160;28100;;;;;;;
780;30;1980;1270;90;29340;;;;;;;
810;10;1970;1390;50;28500;;;;;;;
910;10;1380;1260;120;36810;;;;;;;
880;10;1410;1250;110;28240;;;;;;;
660;10;1640;1350;30;25780;;;;;;;
620;50;620;1340;40;28390;;;;;;;
580;10;1220;1500;10;26980;;;;;;;
570;40;1960;1350;170;25650;;;;;;;
560;50;1450;1410;50;30340;;;;;;;
400;40;750;1300;100;29560;;;;;;;
510;30;1160;2190;60;26740;;;;;;;
420;0;1570;1790;30;27480;;;;;;;
530;40;1170;1930;70;28740;;;;;;;
590;10;1910;1430;90;27230;;;;;;;
310;50;2030;1940;70;26890;;;;;;;
520;20;1550;1620;40;27520;;;;;;;
440;10;1300;1880;50;31080;;;;;;;
440;30;2920;1740;60;34150;;;;;;;
460;240;830;1540;30;28920;;;;;;;
500;50;1470;1660;50;28190;;;;;;;
450;0;920;2130;80;26740;;;;;;;
470;10;1190;1090;10;26220;;;;;;;
490;10;1490;1900;90;27200;;;;;;;
500;10;1390;1400;60;27800;;;;;;;
600;40;1500;1730;30;30020;;;;;;;
520;20;1480;2620;50;25410;;;;;;;
490;0;1850;1760;30;25520;;;;;;;
510;0;1650;1220;50;27200;;;;;;;
340;10;1190;2040;60;30110;;;;;;;
500;30;2450;1980;100;27000;;;;;;;
420;0;660;1500;60;26790;;;;;;;
480;10;1080;1350;60;26870;;;;;;;
330;40;1210;2310;30;32070;;;;;;;
460;30;2230;1550;50;29440;;;;;;;
450;30;870;1490;70;27150;;;;;;;
550;10;1170;1330;60;25950;;;;;;;
480;110;1230;1770;80;27100;;;;;;;
830;30;1660;1400;100;26650;;;;;;;
600;50;1930;1900;120;29740;;;;;;;
620;0;1480;2150;80;28370;;;;;;;
360;30;1470;1230;40;27190;;;;;;;
530;40;940;1420;50;29480;;;;;;;
490;30;300;1570;70;29540;;;;;;;
360;60;840;1460;20;26530;;;;;;;
480;50;3690;1440;250;25550;;;;;;;
480;10;2370;1140;80;28510;;;;;;;
600;10;2680;1580;10;31370;;;;;;;
630;0;7400;950;30;25970;;;;;;;
600;10;5440;1450;10;33320;;;;;;;
570;40;5240;1510;90;28010;;;;;;;
760;30;4010;1630;40;32720;;;;;;;
640;30;3970;1290;40;30220;;;;;;;
620;50;2460;1480;70;28300;;;;;;;
490;40;3290;1090;20;29140;;;;;;;
340;0;4740;1220;50;29620;;;;;;;
400;0;4370;1230;110;33450;;;;;;;
450;0;5030;1330;70;31590;;;;;;;
500;20;3920;1930;20;30100;;;;;;;
250;0;4210;1330;50;27830;;;;;;;
320;30;5080;1430;140;32750;;;;;;;
470;0;3750;1500;50;26590;;;;;;;
610;40;4130;1880;40;27490;;;;;;;
690;10;4800;1340;80;29660;;;;;;;
560;20;3610;1930;30;27360;;;;;;;
330;40;3760;2320;50;27490;;;;;;;
500;10;3440;1540;80;27370;;;;;;;
310;10;4320;1980;60;27070;;;;;;;
560;10;2920;1560;130;25430;;;;;;;
