CouchBase,Memcached,Mongo,Orient,Redis,Riak
780,2530,1890,10400,230,32040,
700,2570,190,7700,220,22970,
610,2620,930,7060,130,20270,
520,2940,2030,7560,170,22160,
670,2760,1160,6410,260,21440,
1030,2980,2070,7120,200,22860,
630,2840,1150,5940,150,28080,
480,2690,1310,5290,290,33450,
550,2480,1210,6180,150,39020,
510,2700,1030,5160,220,20900,
480,2880,680,5680,320,23720,
540,2660,1520,5540,190,26250,
600,2560,1450,3460,240,23530,
610,2500,4250,3790,230,25820,
600,2590,2320,3990,160,23910,
560,2620,1520,3950,190,25510,
580,2560,2570,5850,190,31180,
580,2660,1410,4450,230,30360,
540,2730,1920,5890,210,21970,
560,2570,1160,5290,200,25610,
640,2590,1700,5180,150,22240,
630,2570,1510,5310,180,22500,
680,2500,2090,3550,200,21770,
510,2620,2510,4860,180,23440,
660,2670,1300,3760,150,26030,
630,2550,1760,3630,180,27230,
680,2550,930,5730,230,22040,
770,2640,630,3460,140,22970,
600,2680,1910,5680,200,26760,
760,2790,1070,5840,250,25460,
400,2580,1250,3120,160,20760,
550,3440,1410,5870,180,23070,
420,2670,460,4190,190,22990,
430,2530,1180,2780,220,20090,
780,2670,680,5050,190,26410,
390,2660,830,4650,330,26190,
790,2590,540,4660,210,23120,
940,2680,460,5090,200,25430,
960,2790,1200,7930,290,18170,
970,2490,810,3790,270,23290,
890,2590,140,3750,330,21150,
1000,2660,1780,4610,180,24280,
860,2530,730,6250,210,27000,
890,2470,160,4630,250,22640,
920,2660,320,4280,230,21040,
980,2610,320,5780,390,19360,
880,2750,230,7160,200,23020,
960,2630,560,5200,140,22960,
950,2560,120,5050,170,20240,
910,2520,660,4030,180,19040,
920,2680,1370,4160,180,19940,
890,2550,230,2240,180,22410,
890,2490,1000,4940,230,21910,
880,2810,990,4710,220,22760,
990,2570,580,4860,220,28060,
820,2520,430,5390,280,24360,
880,2650,170,4050,240,24400,
940,2500,1800,4610,210,26030,
890,2540,1020,5330,200,24210,
850,2580,500,2910,210,21370,
980,2690,970,4970,220,20690,
840,2700,920,4750,130,30130,
1030,2530,620,3080,160,28070,
930,2700,1610,4950,250,23100,
920,2500,390,3860,190,24810,
940,3220,570,4320,210,23270,
920,2590,780,5880,150,32080,
960,2460,1100,5330,160,25530,
840,2700,1410,4420,170,22440,
950,2600,830,3620,160,24550,
920,2550,1880,2940,180,22350,
940,2510,1240,2990,140,22750,
880,2820,340,4270,180,30950,
950,2510,480,3140,200,29450,
870,2540,680,4930,180,23940,
970,2930,410,4160,240,22050,
870,2570,380,5300,180,23200,
860,2470,190,4510,200,19740,
1030,2540,1440,4270,160,27590,
910,2610,630,5650,260,21880,
1080,2390,1010,4140,410,24370,
830,2760,920,2080,410,24070,
910,2650,230,4360,310,21560,
860,2650,930,3230,320,19400,
990,2530,520,6010,230,24790,
920,2630,400,4510,240,20820,
920,2440,950,3710,150,23170,
960,2450,250,4640,220,21270,
850,2690,500,4780,330,21520,
920,2890,140,4890,230,20050,
900,2490,590,6860,180,23300,
970,2650,190,5300,380,27370,
930,2590,1630,3370,190,21890,
920,2470,930,5270,270,20940,
860,2610,420,4890,250,19830,
1010,2540,870,5200,190,20160,
840,2790,370,4980,150,23560,
860,2440,200,7790,140,22770,
920,2810,370,5410,150,27200,
940,2920,480,5840,200,24020,
930,2770,230,9540,180,19130,
890,2560,760,5880,360,18940,
830,2500,450,11070,660,19230,
870,2820,880,7790,430,23720,
1020,2560,150,5150,460,24100,
890,2480,440,4870,740,27300,
890,2640,880,6740,630,29390,
860,2550,450,6210,550,20570,
760,2510,590,5310,780,26660,
600,2710,270,5880,1010,23780,
540,2510,650,4780,630,31170,
500,2630,220,6240,660,29440,
550,2420,840,4750,800,21290,
490,2680,700,7030,420,23750,
610,2520,640,6890,740,24150,
530,2510,580,5820,230,24280,
560,2680,500,5460,120,27690,
660,2470,1260,4640,130,22490,
530,2630,150,3330,120,23930,
640,2760,1300,7590,150,24870,
580,2540,980,6360,150,23010,
570,2510,570,6220,220,23740,
630,2610,320,5010,130,26350,
590,2540,360,5420,140,24200,
620,2530,240,4750,160,26490,
600,2510,550,5260,160,23920,
550,2700,240,3020,160,24660,
660,2470,610,5100,130,27830,
760,2490,390,5070,170,41700,
550,2600,560,4050,130,23160,
810,2460,710,6000,190,22840,
690,2550,370,5170,120,24790,
630,3040,230,5080,110,21090,
530,2700,220,4450,180,28240,
460,2570,840,6480,160,26840,
760,2510,760,8040,270,26140,
490,2550,440,5470,220,22040,
530,2530,510,4480,240,23030,
440,2520,380,4750,200,24010,
490,2640,230,5230,190,22930,
500,2700,900,3110,180,27020,
580,2720,570,4660,200,27850,
670,2520,350,4380,190,21360,
620,2570,890,4760,190,23720,
520,2470,780,5520,160,25050,
510,2480,1190,4040,190,25990,
500,2610,470,8510,150,28180,
770,2760,770,7300,200,18890,
600,2500,1160,6540,230,22220,
610,2540,580,6300,150,24530,
620,2730,310,5310,220,24040,
530,2530,250,9120,220,25510,
580,2700,300,6090,210,28780,
460,2630,200,4300,160,27690,
470,2790,500,7300,210,27590,
520,2520,480,4390,160,31410,
510,2550,230,7210,190,31480,
560,2590,320,5200,120,27380,
450,2530,1160,5570,180,24190,
870,2670,170,7050,200,22680,
620,2550,180,6510,270,24230,
570,2740,280,8200,170,25230,
660,2680,860,6620,210,27930,
410,2520,340,4750,150,30950,
820,2460,430,3700,250,23200,
590,3120,520,5260,160,28760,
610,2520,410,4580,150,24320,
390,2830,340,5880,210,22560,
560,2740,1130,8920,200,28060,
510,2570,1370,8050,170,22090,
770,2780,510,4510,200,23780,
700,2460,220,6990,130,23910,
440,2530,520,6030,220,24490,
630,2690,390,5190,160,20670,
710,2700,1260,5590,160,22010,
520,2700,690,5450,290,20470,
630,2510,1500,4390,170,26230,
440,2560,220,4150,190,24850,
500,2500,310,4900,170,23050,
420,2500,770,5270,160,25200,
520,2620,710,5010,230,28990,
520,2510,220,4110,240,23070,
510,2830,360,5300,180,26770,
510,2580,630,4740,160,24170,
410,2700,410,5940,130,22980,
620,3080,230,11800,110,21470,
600,3970,770,10990,160,25810,
470,2550,880,5140,150,22940,
750,2650,400,6120,160,22190,
470,2730,270,5930,170,21830,
550,2580,410,4680,210,21320,
380,2520,690,3880,160,21560,
540,2680,440,4350,180,21330,
720,2410,750,5630,240,22630,
480,2590,440,4690,170,20970,
480,2710,260,5390,140,27120,
510,2720,680,5820,140,23730,
710,2560,230,5780,140,21240,
510,3680,210,5480,140,22380,
820,2490,930,5030,350,26660,
610,2680,230,6170,160,25890,
520,2550,440,6650,240,20690,
620,2720,1040,4020,220,23640,
810,2510,130,3720,130,25930,
500,2540,630,5850,160,26170,
550,2530,1110,4630,160,30990,
730,2730,390,5990,150,26760,
610,2500,220,9160,180,33120,
630,2500,240,10160,170,22240,
710,2720,190,6200,130,27150,
560,2550,330,8200,160,21270,
660,2570,170,5490,180,24360,
430,2500,950,7980,190,25510,
520,2610,250,4000,190,22710,
600,2490,240,6640,300,24440,
610,2480,240,3740,340,20660,
780,2860,180,6630,310,21570,
480,2490,280,4650,370,25590,
630,2880,730,4960,180,22770,
610,2710,860,5040,190,24020,
640,2610,220,4470,120,23060,
800,2490,170,6280,150,21980,
